title,singer,level
愛は勝つ,KAN,1
青いイナズマ,SMAP,1
あとひとつ,FUNKY MONKEY BABYS,1
あなたに,MONGOL800,1
雨あがりの夜空に,RCサクセション,1
海の声,浦島太郎(桐谷健太),1
大きな玉ねぎの下で,爆風スランプ,1
OH MY LITTLE GIRL,尾崎豊,1
贈る言葉,海援隊,1
想い出がいっぱい,H₂O,1
家族になろうよ,福山雅治,1
硝子の少年,KinKi Kids,1
感謝カンゲキ雨嵐,嵐,1
乾杯,長渕剛,1
クリスマス・イブ,山下達郎,1
香水,瑛人,1
さくら,ケツメイシ,1
桜坂,福山雅治,1
しゃぼん玉,長渕剛,1
15の夜,尾崎豊,1
シングルベッド,シャ乱Q,1
すばらしい日々,ユニコーン,1
世界に一つだけの花,SMAP,1
世界はそれを愛と呼ぶんだぜ,サンボマスター,1
太陽が燃えている,THE YELLOW MONKEY,1
TRUE LOVE,藤井フミヤ,1
遠く遠く,槇原敬之,1
どんなときも。,槇原敬之,1
とんぼ,長渕剛,1
花,ORANGE RANGE,1
パプリカ,米津玄師,1
HELLO,福山雅治,1
フラワー,KinKi Kids,1
若者たち,森山直太朗,1
アジアの純真,PUFFY,1
あなたに逢いたくて～Missing You～,松田聖子,1
ありがとう,いきものがかり,1
糸,中島みゆき,1
Everyday、カチューシャ,AKB48,1
オリビアを聴きながら,杏里,1
飾りじゃないのよ涙は,中森明菜,1
CRAZY GONNA CRAZY,TRF,1
恋するフォーチュンクッキー,AKB48,1
さくらんぼ,大塚愛,1
ザ☆ピ～ス!,モーニング娘。,1
SEASONS,浜崎あゆみ,1
潮騒のメモリー,天野春子(小泉今日子),1
白いパラソル,松田聖子,1
ZUTTO,永井真理子,1
スローモーション,中森明菜,1
セーラー服と機関銃,薬師丸ひろ子,1
タッチ,岩崎良美,1
ダンシング・ヒーロー,荻野目洋子,1
手紙〜拝啓 十五の君へ〜,アンジェラ・アキ,1
TOMORROW,岡本真夜,1
時の流れに身をまかせ,テレサ・テン,1
にじいろ,絢香,1
ハナミズキ,一青窈,1
パプリカ,Foorin,1
ハルノヒ,あいみょん,1
PIECE OF MY WISH,今井美樹,1
プラネタリウム,大塚愛,1
愛なんだ,V6,2
いとしのエリー,サザンオールスターズ,2
栄光の架橋,ゆず,2
オリジナル スマイル,SMAP,2
北酒場,細川たかし,2
君は1000%,1986オメガトライブ,2
GOLDFINGER’99,郷ひろみ,2
SPARK,THE YELLOW MONKEY,2
すれ違いの純情,T-BOLAN,2
空も飛べるはず,スピッツ,2
抱きしめたい,Mr.Children,2
小さな恋のうた,MONGOL800,2
チェリー,スピッツ,2
夏疾風,嵐,2
涙のキッス,サザンオールスターズ,2
波乗りジョニー,桑田佳祐,2
はじまりはいつも雨,ASKA,2
Happiness,嵐,2
home,細シャ,2
星屑のステージ,チェッカーズ,2
モニカ,吉川晃司,2
Love is…,河村隆一,2
Runner,爆風スランプ,2
ランナウェイ,シャネルズ,2
ロビンソン,スピッツ,2
浪漫飛行,米米CLUB,2
ワインレッドの心,安全地帯,2
One more time， One more chance,山崎まさよし,2
One Love,嵐,2
I believe,絢香,2
青い珊瑚礁,松田聖子,2
赤いスイートピー,松田聖子,2
亜麻色の髪の乙女,島谷ひとみ,2
Yeah!めっちゃホリディ,松浦亜弥,2
恋しさと せつなさと 心強さと,篠原涼子,2
銀の龍の背に乗って,中島みゆき,2
恋のダンスサイト,モーニング娘。,2
恋人よ,五輪真弓,2
木枯しに抱かれて,小泉今日子,2
サイレント・イヴ,辛島美登里,2
サマーナイトタウン,モーニング娘。,2
時代,中島みゆき,2
Story,AI,2
慟哭,工藤静香,2
トリセツ,西野カナ,2
Don’t you see!,ZARD,2
渚にまつわるエトセトラ,PUFFY,2
涙そうそう,夏川りみ,2
Butterfly,木村カエラ,2
マイ フレンド,ZARD,2
My Revolution,渡辺美里,2
負けないで,ZARD,2
masquerade,TRF,2
守ってあげたい,松任谷由実,2
マリーゴールド,あいみょん,2
ムーンライト伝説,DALI,2
モーニングコーヒー,モーニング娘。,2
LOVEマシーン,モーニング娘。,2
六本木心中,アン・ルイス,2
私がオバさんになっても,森高千里,2
I LOVE YOU,尾崎豊,3
いつまでも変わらぬ愛を,織田哲郎,3
海 その愛,加山雄三,3
ESCAPE,MOON CHILD,3
悲しみの果て,エレファントカシマシ,3
君といつまでも,加山雄三,3
クリスマスキャロルの頃には,稲垣潤一,3
Get Along Together,山根康広,3
恋人,鈴木雅之,3
365日,Mr.Children,3
シェリー,尾崎豊,3
少年時代,井上陽水,3
世界が終るまでは…,WANDS,3
宙船,TOKIO,3
ダイナマイト,SMAP,3
田園,玉置浩二,3
夏の王様,KinKi Kids,3
夏の終りのハーモニー,井上陽水・安全地帯,3
猫,DISH//,3
初恋,村下孝蔵,3
バンザイ〜好きでよかった〜,ウルフルズ,3
POISON,布袋寅泰,3
POP STAR,平井堅,3
真夏の果実,サザンオールスターズ,3
メロディー,玉置浩二,3
LOVE AFFAIR～秘密のデート,サザンオールスターズ,3
ラストチャンス,Something ELse,3
LA・LA・LA LOVE SONG,久保田利伸,3
ろくなもんじゃねえ,長渕剛,3
愛のうた,倖田來未,3
碧いうさぎ,酒井法子,3
明日への手紙,手嶌葵,3
あなたに会えてよかった,小泉今日子,3
ENDLESS STORY,伊藤由奈,3
ALL MY TRUE LOVE,SPEED,3
かもめが翔んだ日,渡辺真知子,3
淋しい熱帯魚,Wink,3
17才,森高千里,3
そうだ!We’re ALIVE,モーニング娘。,3
卒業,斉藤由貴,3
Diamonds,PRINCESS PRINCESS,3
ただ泣きたくなるの,中山美穂,3
魂のルフラン,高橋洋子,3
CHE.R.RY,YUI,3
津軽海峡・冬景色,石川さゆり,3
つぐない,テレサ・テン,3
DESIRE-情熱-,中森明菜,3
となりのトトロ,井上あずみ,3
長い間,Kiroro,3
夏祭り,Whiteberry,3
Hello，Again〜昔からある場所〜,My Little Lover,3
ひだまりの詩,Le Couple,3
for you…,髙橋真梨子,3
Born This Way,Lady Gaga,3
三日月,絢香,3
♡桃色片想い♡,松浦亜弥,3
揺れる想い,ZARD,3
LOVE 2000,hitomi,3
ルージュの伝言,荒井由実,3
ロマンスの神様,広瀬香美,3
渡良瀬橋,森高千里,3
あずさ2号,狩人,4
一番偉い人へ,とんねるず,4
鱗,秦基博,4
悲しみは雪のように,浜田省吾,4
グロリアス,GLAY,4
壊れかけのRadio,德永英明,4
Sign,Mr.Children,4
さよならエレジー,菅田将暉,4
シーズン・イン・ザ・サン,TUBE,4
島人ぬ宝,BEGIN,4
白い雲のように,猿岩石,4
新宝島,サカナクション,4
シンデレラガール,King & Prince,4
青春の影,チューリップ,4
全力少年,スキマスイッチ,4
卒業,尾崎豊,4
DAN DAN 心魅かれてく,FIELD OF VIEW,4
Dream,吉幾三,4
長い夜,松山千春,4
虹,菅田将暉,4
NO MORE CRY,D-51,4
離したくはない,T-BOLAN,4
PIECES OF A DREAM,CHEMISTRY,4
ひまわりの約束,秦基博,4
Missing,久保田利伸,4
あゝ無情,アン・ルイス,4
I BELIEVE,華原朋美,4
明日への扉,I WiSH,4
異邦人,久保田早紀,4
今すぐKiss Me,LINDBERG,4
イミテイション・ゴールド,山口百恵,4
駅,竹内まりや,4
オーケストラ,BiSH,4
喝采,ちあきなおみ,4
秋桜,山口百恵,4
ごめんね…,髙橋真梨子,4
サマータイム ブルース,渡辺美里,4
さよならの向う側,山口百恵,4
残酷な天使のテーゼ,高橋洋子,4
secret base〜君がくれたもの〜,ZONE,4
シングル・アゲイン,竹内まりや,4
